carrier,price_2018,price_unit,market_stage,energy_content,energy_content_unit,price_R2018_per_GJ,primary_source,source_detail,status,preferred_use,notes
Electricity,451.66,R$/MWh,Industrial tariff - Brazil average,3.6,GJ/MWh,125.4611,EPE/ANEEL,Anuario Estatistico de Energia Eletrica 2019; 2018 industrial tariff,verified,Industry and general electricity proxy,"Constant-2018-price benchmark. For buildings/services a sector-specific tariff can be tested in sensitivity analysis."
Natural gas,1.89,R$/m3,Industrial consumer tariff proxy - up to 50000 m3/day,0.03684,GJ/m3,51.3029,MME,Boletim Mensal de Acompanhamento da Industria de Gas Natural - 2018 national industrial price band,verified_published_proxy,Industry and buildings fossil-gas benchmark,"Published industrial-consumer proxy rather than producer price; use as validation benchmark."
Diesel,2.444,R$/L,Producer/importer,0.03551,GJ/L,68.8257,ANP,Anuario Estatistico 2019 Table 2.39 - Brazil 2018 weighted producer/importer price,verified,Road transport fossil benchmark,"ANP producer/importer prices include Cide/PIS/Cofins where applicable and exclude ICMS."
Gasoline A,2.713,R$/L,Producer/importer,0.03224,GJ/L,84.1501,ANP,Anuario Estatistico 2019 Table 2.38 - Brazil 2018 weighted producer/importer price,verified,Road transport fossil benchmark,"ANP producer/importer prices include Cide/PIS/Cofins where applicable and exclude ICMS."
QAV,2.207,R$/L,Producer/importer,0.03441,GJ/L,64.1383,ANP,Anuario Estatistico 2019 Table 2.41 - Brazil 2018 weighted producer/importer price,verified,Aviation fossil benchmark,"Preferred fossil reference for S50 aviation."
GLP,2.195,R$/kg,Producer/importer,0.0473,GJ/kg,46.4059,ANP,Anuario Estatistico 2019 Table 2.40 - Brazil 2018 weighted producer/importer price,verified,Buildings/cities fossil benchmark,"Can be used together with natural gas to bound the fossil-price proxy."
Fuel oil A1,1.879,R$/kg,Producer/importer,0.0406,GJ/kg,46.2808,ANP,Anuario Estatistico 2019 Table 2.42 - Brazil 2018 weighted producer/importer price,verified,Industry and maritime fossil benchmark,"Useful as an industrial/maritime liquid-fuel benchmark."
Biodiesel B100,2.589214,R$/L,ANP biodiesel auctions - volume-weighted 2018 transaction-year estimate,0.0325,GJ/L,79.6681,ANP,"Auctions L59-L64; volume-weighted from awarded volumes and average prices; L61 published average-price typo corrected from 5.63059 to 2.63059 R$/L because published maximum reference is 2.65759 R$/L",derived_documented,Biofuel validation benchmark,"Use as sensitivity/validation benchmark. The L61 correction is documented explicitly; do not present the uncorrected ANP table value as economically feasible."
Ethanol hydrated,2.497,R$/L,Distribution - late-2018 proxy,0.02135,GJ/L,116.9555,ANP,ANP historical fuel-price survey - national distribution price near end-2018,provisional_distribution_proxy,Road transport biofuel sensitivity,"Full-year 2018 distribution average has not yet been extracted from the official downloadable series. ANP annual 2018 consumer average is 2.889 R$/L, but retail is not the preferred intermediate-input price stage."
Ethanol hydrated - consumer check,2.889,R$/L,Consumer annual Brazil average,0.02135,GJ/L,135.3162,ANP,Anuario Estatistico 2019 Table 4.8 - Brazil 2018 consumer average,verified_not_preferred,Validation only,"Verified annual value but not used as the preferred intermediate-input benchmark because it is a retail/consumer-stage price."
