"year","cod","sector","current_share","supplier_share","share_change"
2025,"S34","Fabricação de máquinas e equipamentos mecânicos",0.249456109004827,0.271558647648936,0.0221025386441087
2025,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.0834188557907015,0.0919720646177808,0.00855320882707934
2025,"S45","Construção",0.395364394655145,0.428584559705449,0.0332201650503045
2025,"S33","Fabricação de máquinas e equipamentos elétricos",0.057619534270226,0.063043041990863,0.00542350772063703
2025,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.0338079622748203,0.0370873672426161,0.00327940496779578
2025,"S42","Transmissão",0.0781970736546998,0,-0.0781970736546998
2025,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.0321290014217464,0.0377665850200922,0.0056375835983458
2025,"S03","Produção florestal; pesca e aquicultura",0,0,0
2025,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0,0,0
2025,"S19","Derivados de petróleo",0.0000232021842855997,0,-0.0000232021842855997
2025,"S27","Fabricação de produtos de borracha e de material plástico",0.00000580054607139991,0.00000966757678566652,0.00000386703071426661
2025,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.000529667501423705,0.000529667501423705,0
2025,"S36","Fabricação de peças e acessórios para veículos automotores",0.000529667501423705,0.000529667501423705,0
2025,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.0312991154360914,0.0312991154360914,0
2025,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.0376196157585383,0.0376196157585383,0
2030,"S34","Fabricação de máquinas e equipamentos mecânicos",0.0985798461455811,0.108510291748902,0.00993044560332078
2030,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.026766248607651,0.0292600138153396,0.00249376520768856
2030,"S45","Construção",0.436268253679693,0.49614734651798,0.0598790928382876
2030,"S33","Fabricação de máquinas e equipamentos elétricos",0.0257849270959299,0.027718557749366,0.0019336306534361
2030,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.0155661524044974,0.0168709176157905,0.00130476521129315
2030,"S42","Transmissão",0.0972060545646847,0,-0.0972060545646847
2030,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.138837988135541,0.160520423653602,0.0216824355180611
2030,"S03","Produção florestal; pesca e aquicultura",0.0706494263759836,0.0706494263759836,-1.38777878078145e-17
2030,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.0235498087919946,0.0235498087919945,-3.46944695195361e-18
2030,"S19","Derivados de petróleo",0.0000216965608832195,0,-0.0000216965608832195
2030,"S27","Fabricação de produtos de borracha e de material plástico",0.00000542414022080489,0.00000904023370134148,0.00000361609348053659
2030,"S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.0015528025218862,0.00155280252188619,-2.16840434497101e-19
2030,"S36","Fabricação de peças e acessórios para veículos automotores",0.0015528025218862,0.00155280252188619,-2.16840434497101e-19
2030,"S57","Desenvolvimento de sistemas e outros serviços de informação",0.0307819957530677,0.0307819957530677,-3.46944695195361e-18
2030,"S61","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D",0.0328765727005,0.0328765727005,0
2035,"S34","Fabricação de máquinas e equipamentos mecânicos",0.318850505116787,0.350312755581997,0.03146225046521
2035,"S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.00769013429877882,0.00769013429877882,0
2035,"S45","Construção",0.332724192595843,0.36005665365806,0.0273324610622165
2035,"S33","Fabricação de máquinas e equipamentos elétricos",0.0512170952701855,0.0559397849277036,0.00472268965751813
2035,"S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.0326012425038619,0.0357474675503829,0.00314622504652099
2035,"S42","Transmissão",0.0633990330937378,0,-0.0633990330937378
2035,"S30","Metalurgia de metais não-ferosos e a fundição de metais",0.0721976389235537,0.0741879278224831,0.00199028889892938
2035,"S03","Produção florestal; pesca e aquicultura",0.012500344311271,0.012500344311271,0
2035,"S01","Agricultura, inclusive o apoio à agricultura e a pós-colheita",0.00416678143709033,0.00416678143709033,0
2035,"S19","Derivados de petróleo",0.00630585844398855,0,-0.00630585844398855
2035,"S27","Fabricação de produtos de borracha e de material plástico",0.00157646461099714,0.00262744101832856,0.00105097640733143
