"year","variant","unconstrained_output_diff_Rbn","unconstrained_va_diff_Rbn","hard_output_diff_Rbn","hard_va_diff_Rbn"
2025,"current",-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127
2025,"no_real_estate",-0.125760612994432,-0.0475074191363528,195.861296955355,55.954792953159
2025,"hospitality_only",-0.109010748578003,-0.0553699658474652,195.845614672542,55.948847871914
2030,"current",1485.88397909256,631.493714281005,1318.90354081153,559.023183033066
2030,"no_real_estate",1485.88528650607,631.492699458719,1318.89991140009,559.021807139894
2030,"hospitality_only",1485.94367797432,631.463258515538,1318.84342477603,559.000393320662
2035,"current",1401.13804486934,556.23166353226,915.743758945094,410.744554864191
2035,"no_real_estate",1401.14162582613,556.229480212596,915.73529112247,410.741344751603
2035,"hospitality_only",1401.29431181599,556.162009674408,915.601217735536,410.690518147619
2040,"current",1389.38412397767,549.890086715706,525.620999170033,291.679680150329
2040,"no_real_estate",1389.39481984718,549.886010439477,525.601643552257,291.672342524703
2040,"hospitality_only",1389.79074849614,549.731899666574,525.308917586747,291.561371458297
2045,"current",681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383
2045,"no_real_estate",681.721481490198,269.68346895923,-404.327845887773,-64.5259351840727
2045,"hospitality_only",682.542662413804,269.400319535761,-404.894993129995,-64.7409380936008
2050,"current",1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504
2050,"no_real_estate",1291.71562090424,504.93808569856,-449.973712777976,-55.1495360281849
2050,"hospitality_only",1293.18432632477,504.584790654577,-450.827907422982,-55.4733572871229
