"year","variant","unconstrained_output_diff_Rbn","unconstrained_va_diff_Rbn","hard_output_diff_Rbn","hard_va_diff_Rbn","unconstrained_output_diff_Rbn_current","unconstrained_va_diff_Rbn_current","hard_output_diff_Rbn_current","hard_va_diff_Rbn_current","delta_unconstrained_output_Rbn","delta_unconstrained_va_Rbn","delta_hard_output_Rbn","delta_hard_va_Rbn"
2025,"current",-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127,-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127,0,0,0,0
2025,"no_real_estate",-0.125760612994432,-0.0475074191363528,195.861296955355,55.954792953159,-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127,0.000391266334569096,-0.000265858492581171,-0.00101696843537979,-0.000385528053733708
2025,"hospitality_only",-0.109010748578003,-0.0553699658474652,195.845614672542,55.948847871914,-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127,0.0171411307509989,-0.00812840520369355,-0.0166992512484967,-0.00633060929865792
2030,"current",1485.88397909256,631.493714281005,1318.90354081153,559.023183033066,1485.88397909256,631.493714281005,1318.90354081153,559.023183033066,0,0,0,0
2030,"no_real_estate",1485.88528650607,631.492699458719,1318.89991140009,559.021807139894,1485.88397909256,631.493714281005,1318.90354081153,559.023183033066,0.0013074135019906,-0.00101482228626537,-0.00362941143407625,-0.00137589317228048
2030,"hospitality_only",1485.94367797432,631.463258515538,1318.84342477603,559.000393320662,1485.88397909256,631.493714281005,1318.90354081153,559.023183033066,0.0596988817615056,-0.0304557654668542,-0.0601160354958665,-0.0227897124038918
2035,"current",1401.13804486934,556.23166353226,915.743758945094,410.744554864191,1401.13804486934,556.23166353226,915.743758945094,410.744554864191,0,0,0,0
2035,"no_real_estate",1401.14162582613,556.229480212596,915.73529112247,410.741344751603,1401.13804486934,556.23166353226,915.743758945094,410.744554864191,0.0035809567934848,-0.00218331966402729,-0.00846782262442503,-0.00321011258802173
2035,"hospitality_only",1401.29431181599,556.162009674408,915.601217735536,410.690518147619,1401.13804486934,556.23166353226,915.743758945094,410.744554864191,0.156266946657524,-0.0696538578523587,-0.14254120955809,-0.0540367165719999
2040,"current",1389.38412397767,549.890086715706,525.620999170033,291.679680150329,1389.38412397767,549.890086715706,525.620999170033,291.679680150329,0,0,0,0
2040,"no_real_estate",1389.39481984718,549.886010439477,525.601643552257,291.672342524703,1389.38412397767,549.890086715706,525.620999170033,291.679680150329,0.0106958695128014,-0.00407627622871587,-0.0193556177765686,-0.00733762562555285
2040,"hospitality_only",1389.79074849614,549.731899666574,525.308917586747,291.561371458297,1389.38412397767,549.890086715706,525.620999170033,291.679680150329,0.406624518469016,-0.158187049131811,-0.312081583286727,-0.118308692032031
2045,"current",681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383,681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383,0,0,0,0
2045,"no_real_estate",681.721481490198,269.68346895923,-404.327845887773,-64.5259351840727,681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383,0.0215698344147768,-0.00708208064827431,-0.0360660833809447,-0.0136724862344551
2045,"hospitality_only",682.542662413804,269.400319535761,-404.894993129995,-64.7409380936008,681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383,0.842750758020202,-0.290231504117173,-0.603213325602894,-0.228675395762536
2050,"current",1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504,1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504,0,0,0,0
2050,"no_real_estate",1291.71562090424,504.93808569856,-449.973712777976,-55.1495360281849,1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504,0.0399287115801599,-0.00792091936710904,-0.0542807795647491,-0.0205775937344868
2050,"hospitality_only",1293.18432632477,504.584790654577,-450.827907422982,-55.4733572871229,1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504,1.50863413211891,-0.36121596334965,-0.908475424570952,-0.344398852672427
