"year","sector","sector_name","current_unconstrained_dx_Rm","energy_only_unconstrained_dx_Rm","delta_unconstrained_Rm","current_hard_dx_Rm","energy_only_hard_dx_Rm","delta_hard_Rm"
2025,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",22880.7223295142,22880.023152148,-0.69917736619027,25015.0228510279,25015.0228510279,0
2025,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",6120.27808028083,6120.26442732949,-0.0136529513392816,6227.59686760357,6227.59686760357,-0.000000000000909494701772928
2025,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",9026.39369815439,9026.38630032915,-0.00739782524397015,9093.82673184395,9093.82673184395,0
2030,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",57548.4200551455,57545.8652468852,-2.55480826036364,55763.3423851178,55763.3423851178,0.00000000000727595761418343
2030,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",11837.807773045,11837.7947947127,-0.0129783323609445,11750.3066597551,11750.3066597551,0.00000000000181898940354586
2030,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",16372.0712418304,16372.0748341703,0.00359233987001062,16385.3557119385,16385.3557119385,-0.00000000000363797880709171
2035,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",84450.9572405916,84442.1806335837,-8.77660700785054,78319.2217426628,78319.2217426628,-0.0000000000145519152283669
2035,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",19893.5923166062,19893.4766191511,-0.115697455119516,19634.5430014425,19634.5430014425,0
2035,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",28298.8697806646,28298.8224295022,-0.0473511624441016,28181.0401935606,28181.0401935607,0.00000000000363797880709171
2040,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",125701.660327772,125710.554491086,8.89416331418033,111991.487281292,111991.487281292,-0.0000000000291038304567337
2040,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",30548.6508343806,30549.2983847362,0.647550355581188,30034.2253070742,30034.2253070742,-0.0000000000109139364212751
2040,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",43969.59646366,43969.9609231907,0.36445953069051,43642.2794315014,43642.2794315014,0
2045,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",169275.996401798,169322.408249107,46.4118473091221,150542.936367548,150542.936367548,-0.0000000000873114913702011
2045,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",43072.8922856301,43075.0698260446,2.17754041450826,42400.0237480246,42400.0237480246,0
2045,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",62927.0260818218,62928.2552575945,1.22917577269982,62388.5417810021,62388.5417810021,-0.0000000000436557456851006
2050,"S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",237441.351032714,237814.500185976,373.149153261154,204741.714547561,204741.714547561,0.0000000000291038304567337
2050,"S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",58430.2105230465,58442.1976627029,11.9871396563394,57303.9311932965,57303.9311932965,0.00000000000727595761418343
2050,"S26","Fabricação de produtos farmoquímicos e farmacêuticos",84992.6019598066,84998.4148522409,5.81289243425999,84129.62835353,84129.62835353,0.0000000000145519152283669
