"year","variant","sector","petroleum_coef_S19","biofuel_coef_S22","petroleum_plus_biofuel_coef"
2025,"parity_current","S49",0.0722300756561323,0.000190539596500598,0.0724206152526329
2025,"parity_current","S50",0.149775438006703,0.0004099976580218,0.150185435664724
2025,"anp_b100_proxy","S49",0.0722300756561323,0.000190539596500598,0.0724206152526329
2025,"anp_b100_proxy","S50",0.149775438006703,0.0004099976580218,0.150185435664724
2030,"parity_current","S49",0.0722300756561323,0.000190539596500598,0.0724206152526329
2030,"parity_current","S50",0.149775438006703,0.0004099976580218,0.150185435664724
2030,"anp_b100_proxy","S49",0.0722300756561323,0.000190539596500598,0.0724206152526329
2030,"anp_b100_proxy","S50",0.149775438006703,0.0004099976580218,0.150185435664724
2035,"parity_current","S49",0.0639869560437909,0.00843365920884196,0.0724206152526329
2035,"parity_current","S50",0.132485145188197,0.0177002904765274,0.150185435664724
2035,"anp_b100_proxy","S49",0.0639869560437909,0.014380304630553,0.0783672606743439
2035,"anp_b100_proxy","S50",0.132485145188197,0.0218867873031166,0.154371932491314
2040,"parity_current","S49",0.0285364658973717,0.0438841493552612,0.0724206152526329
2040,"parity_current","S50",0.10879630307887,0.0413891325858547,0.150185435664724
2040,"anp_b100_proxy","S49",0.0285364658973717,0.0754050318183705,0.103941497715742
2040,"anp_b100_proxy","S50",0.10879630307887,0.0513114063224873,0.160107709401357
2045,"parity_current","S49",0.0267226828672866,0.0456979323853463,0.0724206152526329
2045,"parity_current","S50",0.0668142113962798,0.0833712242684447,0.150185435664724
2045,"anp_b100_proxy","S49",0.0267226828672866,0.0785272908938213,0.105249973761108
2045,"anp_b100_proxy","S50",0.0668142113962798,0.103458617557861,0.17027282895414
2050,"parity_current","S49",0.0197252923852019,0.052695322867431,0.0724206152526329
2050,"parity_current","S50",0.0465573805213607,0.103628055143364,0.150185435664724
2050,"anp_b100_proxy","S49",0.0197252923852019,0.0905726488968327,0.110297941282035
2050,"anp_b100_proxy","S50",0.0465573805213607,0.128620232814675,0.175177613336036
