"year","variant","sector","unconstrained_output_change_Rbn","hard_output_change_Rbn"
2025,"parity_current","S49",2.91137374112268,3.89996239570918
2025,"parity_current","S50",5.66528410187087,6.1514875357926
2025,"anp_b100_proxy","S49",2.91137374112268,3.89996239570918
2025,"anp_b100_proxy","S50",5.66528410187087,6.1514875357926
2030,"parity_current","S49",6.4130949372427,7.18444815486305
2030,"parity_current","S50",12.5581039634518,12.5329136934615
2030,"anp_b100_proxy","S49",6.4130949372427,7.18444815486305
2030,"anp_b100_proxy","S50",12.5581039634518,12.5329136934615
2035,"parity_current","S49",10.5395016362372,9.56214293959301
2035,"parity_current","S50",20.0038480439264,19.2686794666319
2035,"anp_b100_proxy","S49",10.5398614907546,9.56214293959301
2035,"anp_b100_proxy","S50",20.0041189333583,19.2686794666319
2040,"parity_current","S49",14.8710935934766,11.3597987152536
2040,"parity_current","S50",29.6080805881254,27.8029096135133
2040,"anp_b100_proxy","S49",14.8728343920984,11.3597987152536
2040,"anp_b100_proxy","S50",29.609443150788,27.8029096135133
2045,"parity_current","S49",19.945620684057,13.3426165456014
2045,"parity_current","S50",40.1539476802533,37.1561431210477
2045,"anp_b100_proxy","S49",19.9489348748544,13.3426165456014
2045,"anp_b100_proxy","S50",40.1565520493631,37.1561431210477
2050,"parity_current","S49",26.1565165868128,16.3684915605084
2050,"parity_current","S50",54.3114419209472,49.7120723691518
2050,"anp_b100_proxy","S49",26.1615236223997,16.3684915605085
2050,"anp_b100_proxy","S50",54.3155175441763,49.7120723691518
