"year","mechanism","group7","va_shapley_Rbn"
2050,"investment","Infrastructure",185.229540870132
2050,"investment","Services",129.191301618454
2050,"investment","Manufacturing",124.773808698274
2050,"investment","Renewable energy",14.9024700878411
2050,"investment","Fossil energy",13.5934275435642
2050,"investment","Agriculture",9.9199447610042
2050,"investment","Extractive industry",9.74229513151793
2050,"physical","Renewable energy",15.5958478068115
2050,"physical","Manufacturing",12.3181539987441
2050,"physical","Extractive industry",-5.62896723271889
2050,"physical","Agriculture",-21.5736810632158
2050,"physical","Infrastructure",-24.2279157970237
2050,"physical","Services",-81.8454004995133
2050,"physical","Fossil energy",-137.862761980233
2050,"rewiring","Renewable energy",48.1058354818787
2050,"rewiring","Agriculture",28.5387371580933
2050,"rewiring","Manufacturing",3.4537385603119
2050,"rewiring","Services",0.641067780314864
2050,"rewiring","Infrastructure",0.279748904481044
2050,"rewiring","Extractive industry",0.0846878183628593
2050,"rewiring","Fossil energy",-65.7861451071848
