"year","mechanism","shapley_contribution","total_transition_differential","share_of_total"
2025,"investment",0,37.0882115548367,0
2025,"rewiring",-0.0191293736781226,37.0882115548367,-0.000515780429310778
2025,"physical",37.1073409285148,37.0882115548367,1.00051578042931
2030,"investment",631.996881844842,672.81747440945,0.939328875783975
2030,"rewiring",-0.342743475653619,672.81747440945,-0.000509415240670517
2030,"physical",41.1633360402614,672.81747440945,0.0611805394566952
2035,"investment",557.153804895866,547.17310016241,1.01824048866893
2035,"rewiring",-0.557280893624838,547.17310016241,-0.00101847275288099
2035,"physical",-9.42342383983133,547.17310016241,-0.0172220159160498
2040,"investment",546.920900753507,481.83209100315,1.13508608281953
2040,"rewiring",2.77331646987206,481.83209100315,0.00575577368476673
2040,"physical",-67.8621262202292,481.83209100315,-0.140841856504293
2045,"investment",265.037938389635,124.111889780696,2.13547581023828
2045,"rewiring",4.48580673289796,124.111889780696,0.0361432473619114
2045,"physical",-145.411855341837,124.111889780696,-1.17161905760019
2050,"investment",487.352788710787,259.445734539894,1.87843823902161
2050,"rewiring",15.3176705962578,259.445734539894,0.059039978527388
2050,"physical",-243.22472476715,259.445734539894,-0.937478217548997
